,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0,worthpoint.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
1,radiohof.org,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0
2,euurpd.blog.com,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
3,flickr.com,0,1,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
4,ovguide.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
5,espncricinfo.com,0,0,1,4,0,0,0,0,0,1,1,0,0,0,1,0,0
6,tvguide.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
7,top-topics.thefullwiki.org,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0
8,en.wikipedia.org,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
9,manta.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
10,rottentomatoes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
11,groups.yahoo.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
12,livenloudmagazine.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
13,prweb.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
14,linkedin.com,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0
15,store02.prostores.com,0,0,1,6,0,0,0,0,0,0,1,1,1,1,1,1,0
16,football.leusd.tch.schoolfusion.us,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
17,imscouting.com,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
18,facebook.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
19,gocitykids.parentsconnect.com,0,0,1,2,0,0,1,0,0,0,1,1,1,1,1,1,0
20,texastech.com,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0
21,ccctigers.com,0,0,0,4,0,0,0,0,0,0,1,1,1,0,1,0,0
22,destination360.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
23,twitter.com,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
24,disunplugged.com,0,0,1,4,0,0,0,0,0,0,0,1,1,1,1,1,0
25,onlinelibrary.wiley.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
26,theofficialpageof.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
27,twitter.com,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
28,jacklukeman.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
29,8coupons.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
30,oilersheritage.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
31,celebsbase.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
32,stratpd.com,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
33,michaelconnollymusic.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
34,northyorkshirewebdesign.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
