Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
worthpoint.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
radiohof.org,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0
euurpd.blog.com,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,0
flickr.com,0,1,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
ovguide.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
espncricinfo.com,0,0,1,4,0,0,0,0,0,1,1,0,0,0,1,0,0
tvguide.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
top-topics.thefullwiki.org,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0
en.wikipedia.org,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
manta.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
rottentomatoes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
groups.yahoo.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
livenloudmagazine.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
prweb.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
linkedin.com,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0
store02.prostores.com,0,0,1,6,0,0,0,0,0,0,1,1,1,1,1,1,0
football.leusd.tch.schoolfusion.us,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
imscouting.com,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
facebook.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
gocitykids.parentsconnect.com,0,0,1,2,0,0,1,0,0,0,1,1,1,1,1,1,0
texastech.com,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0
ccctigers.com,0,0,0,4,0,0,0,0,0,0,1,1,1,0,1,0,0
destination360.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
twitter.com,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
