,url,label,result
17312,http://server.security.hotelneelgiri.com/access/MGen/F23f2ffd47aa6a1469295b7d1d26ff65e/?dispatch=xyUiZYtUGdRddbaRhxIXIp1hptbNB9O8HJrHHUCo8uClGMcXkU,malicious,1
82002,http://www.orchidbooks.com.np/.Confirm/Paypal/webscr.php,malicious,1
100426,http://login.rackspace.com.ga.2.45958308.1204187242.golfclub-brunstorf.de/rackspace/rackspace.login/login.php,malicious,1
3970,https://bbrasilclientescadas.websiteseguro.com/segbb/...,malicious,1
95257,https://1drv.ms/xs/s!ArsfnJ_Sphc4hklmqeUNbw6R_eo_?wdFormId=,malicious,1
56495,http://download.arpcc.ro/k70bh,malicious,1
70535,http://monbega.info/76733c,malicious,1
24063,http://pt-prefabindo.com/.https/www/outlook.office365.com/MBI_SSL/w-signin/owa/auth/logon.aspx_url_replace-Current_owa/index.php?umail=dHJhbnNwb3J0QGFtZXJpY2FuLXBhcmtpbmcuY29tDQ=,malicious,1
43947,http://nemadropwate.erickarcelliott.com/1MzLuXBnfKYLdgndRKny3fWP7fJmUO5fZ_c5zxL-7rfTgclzDOvQsiRxFzIJTHJEPpMw_g==\n,malicious,1
87425,http://www.rbwsn.com,malicious,1
21491,http://oasisofparga.com/eazi.php?k=s,malicious,1
65120,http://korieg.net/data/feeder/,malicious,1
5620,http://onebeautystore.com.br/downloader/lib/Mage/Backup/Exception/subs...,malicious,1
45439,http://freshstart.cloudaccess.net/modules/telekom/telekom_deutschland_gmbh,malicious,1
82952,http://www.gixmi.com/admin/Arch/Archive/,malicious,1
72599,http://909.com/site/,malicious,1
98889,http://velerszers.com/28359/5882e50aae7968310e1ce7b09111c296/error.php?status=invalid,malicious,1
97070,https://sites.google.com/site/acctrecovery444/home,malicious,1
72926,http://viabcp.seguridad3.tk/zonasegura/web/,malicious,1
15064,http://booking.heteml.jp/pon/invalid.php,malicious,1
75103,https://clawar.org/inc/sess/602c83cbd3ff5149648571bf371d4cc1/,malicious,1
83231,http://www.autodemitrans.ro/css/directory/nD/nD/,malicious,1
2116,http://fmwebdesign.net/nvo/nc.fern/ncfa.php,malicious,1
91530,https://tinyurl.com/y96xwpv4,malicious,1
72899,http://kindness.sg/rtb,malicious,1
71329,http://90.3.1.15:6892,malicious,1
39084,http://marblechamp.com/pull/image.htm,malicious,1
35444,http://krasnoselskoe.by/modules/mod_jvclouds/tmpl/dhl/DHL-SHIPPING-0043156.html,malicious,1
70129,http://www.goldshoppingclub.ru/damon/,malicious,1
39166,http://mondogroupealibabal.yolasite.com/contact.php,malicious,1
18969,http://ashooooor-001-site1.ftempurl.com/b7aba/,malicious,1
98067,http://snip.ly/3kqwy,malicious,1
73240,http://social-selling.tv/wp-admin/images/javaimages/scripts/javascripts/css/G.Docs/,malicious,1
15049,http://dochoiphuchung.com.vn/counter/9009L3/ec47daffa3c784669493bebcaf4a95ff,malicious,1
49214,http://qube.co.il/,malicious,1
86362,https://hobok.se/stat,malicious,1
67330,http://postnllevering.su/gf-track.jar,malicious,1
34565,http://howdoeslifework.com/iha/7a22c3869a0af29eb5cebc71b2672f6e/,malicious,1
12962,http://steamcoRNMNunity.tk/profiler/shadowz/,malicious,1
70439,http://yoga.tanialove.com/lhfyng5r05,malicious,1
84263,http://www.69valley.com/db/box,malicious,1
18294,http://jaimerodriguesadvogados.com.br/AAVUTGUYHERIYET67RFUHYIU7T6HIGRYUT68EGIU/,malicious,1
75593,http://www.omantrding.com/ms/mi/,malicious,1
54679,http://projectodetalhe.pt/do5j36a,malicious,1
51717,http://212.72.123.130/limto1.tar,malicious,1
11161,http://news.mail--club.com/public/read_message.jsp?tsp=1475835816036&amp;custid=21161&amp;uid=21207180282&amp;sig=PJMPDMCALHDDMBKP&amp;mid=2101447878&amp;l=D0Iyr5bk6I9qq7h16I&amp;slt=0,malicious,1
95991,http://click.playstationmail.net/?qs=408562450276cab0467edafd9ac8be6bfd947a466f9ddf3c99b47c842676ab8d11b2c24d02b4ab01c2c05a96a9f2ddd7a755e5f57d3895ae,malicious,1
57242,http://whgt.steelhome.cn/xml.xml,malicious,1
38952,http://starfleetepsilon.com/application/wtemp/,malicious,1
30114,http://marinephotos.com/themes/default-bootstrap/js/tools/content/Ameli/PortailAS/appmanager/ameli-assurance/assure_somtc=true/f69548ead20aade5fdd3a8ed515a52cb/index_2.html,malicious,1
56043,http://ostrovokkrasoty.ru/zxaen4,malicious,1
6437,http://doctor-alex.com/files/SetupDrAlex.exe,malicious,1
20668,http://correctstuff.com.ng/RNC/verification.php,malicious,1
4101,http://www.cheetahsms.com/modules/dropbox,malicious,1
61495,http://www.guyaneetpetrole.fr/administrator/cache/_system/,malicious,1
77610,http://ifma-arm.ro/cgi--bin/222/111/k/s/3/login.php?.portal,malicious,1
65262,http://nikeifi.com/rss/feed/stream/,malicious,1
6976,http://somethingnice.hc0.me/login.php,malicious,1
83656,http://www.sooooz.com/jd/lio/api/postal/,malicious,1
29612,http://mndday.com/GOG/verification.php,malicious,1
